name,path,anger_ra1,anger_ra2,caseid,enthusiasm_ra1,enthusiasm_ra2,fear_ra1,fear_ra2,immigrants_ra1,immigrants_ra2,legal,open ended response,pid_rep,treat,txtorg_id
,,0,0,287,0,0,1,2,0,0,0,"problems caused by the influx of illegal immigrants who are crowding our schools and hospitals, lowering the level of ducation and the quality of care in hospitals.",1,1. worried,27417620-757f-11e2-ad47-88532e617cea
,,0,0,145,0,0,1,1,0,0,1,"if you mean illegal immigration, i'm afraid of who might be getting into this country in unsecured borders.",1,1. worried,27475b94-757f-11e2-ad47-88532e617cea
,,1,1,159,0,0,0,0,0,0,1,"that they should enter the same way my grandparents did, legally. learn english and pay taxes. i don't think that a lot of these asians and east indians should be getting a tax free ride. i'm tired of paying for everyone else.",0.333,0. think,27484838-757f-11e2-ad47-88532e617cea
,,0,1,421,0,0,1,2,0,0,1,"legally entering the usa meeting the requirements is the law. entering the usa improperly is a crime. it is unfortunate that the american bar association has fought treating entering the usa as a crime. and our politicians from both parties have been so anxious to get the ""vote"" that they refuse to inforce the law. meanwhile, terorists can walk right in without any problem. no accountability on the part of politicians supported by the news media will bring our nation down eventually. and the normal person will wonder how it happened.",0.5,0. think,274a61fe-757f-11e2-ad47-88532e617cea
,,1,0,224,0,0,2,2,0,0,0,"terror
bombings
killing us
robbing america",0.66667002,1. worried,274c8592-757f-11e2-ad47-88532e617cea
,,0,0,175,0,0,1,1,0,0,0,having criminals immigrate here,0,1. worried,274d0422-757f-11e2-ad47-88532e617cea
,,1,2,131,0,0,2,1,0,0,0,"illegal, draining our goverment resources and making no contibution to our society.  as long as they will do the menial labor, our lazy welfare bums will continue to rob, steal, and murder.  our jails are overcrowded!
if welfare recipients, who are physically able, wont work then no welfare.",0.833,1. worried,274d31ae-757f-11e2-ad47-88532e617cea
,,0,1,70,0,0,0,1,0,0,0,we are not the lower class people and that is not right,0,1. worried,274d888e-757f-11e2-ad47-88532e617cea
,,0,0,342,1,0,0,0,0,0,0,i dont have a problem with it as long as they learn english and pay taxes,0,0. think,274dd26c-757f-11e2-ad47-88532e617cea
,,1,1,402,0,0,0,0,0,0,0,i think that people  that come into the united states shouldn't be able to get more for help for living when the states don't even take care of the people that were born and raised here.,0.66667002,1. worried,274e0246-757f-11e2-ad47-88532e617cea
,,1,1,276,0,0,1,1,0,0,0,taking jobs from americans,0.16666999,1. worried,274e3d56-757f-11e2-ad47-88532e617cea
,,0,0,332,0,0,0,1,0,0,0,illegal immagrtants and social security,0.833,1. worried,274e6416-757f-11e2-ad47-88532e617cea
,,0,0,261,2,1,0,0,0,0,1,"when i think of immigration, i think of the people who legally come to this country and apply for the necessary citizenships so that they can get a job and have the benefits of being an american and all the freedoms that come with that.",0.66667002,0. think,274e8928-757f-11e2-ad47-88532e617cea
,,1,1,53,0,0,0,1,0,0,0,illegal imigration is a pox on our society.,0.833,0. think,274ec8c0-757f-11e2-ad47-88532e617cea
,,0,0,128,0,0,0,0,0,0,0,mexicains,0,0. think,274eee04-757f-11e2-ad47-88532e617cea
,,0,0,299,0,0,0,0,0,0,0,illegals,1,0. think,274f0ee8-757f-11e2-ad47-88532e617cea
,,0,0,100,0,0,2,1,0,0,1,"the amount of illegal immigration, and exceptions to the legal immigration quotas that happen all the time.  i'm concerned that abuses will sink us soon.",1,0. think,274f36f2-757f-11e2-ad47-88532e617cea
,,1,1,419,0,0,0,1,0,0,0,send them all back,0.16666999,0. think,274f705e-757f-11e2-ad47-88532e617cea
,,0,0,388,0,0,1,1,0,0,0,that we have to many people from other countrys here,0.333,0. think,274f93fe-757f-11e2-ad47-88532e617cea
,,0,1,418,0,0,0,1,0,0,0,unfair unattainable,0.5,0. think,274fbd66-757f-11e2-ad47-88532e617cea
,,1,1,293,0,0,1,1,0,0,0,i'm really more worried about world population growth than about immigration per se.  i do feel that immigrants should learn english.  i do not like the idea of spanish being on an equal par with english.  speak what ever you want at home but learn enough english to function in this country.,0,1. worried,274fdf62-757f-11e2-ad47-88532e617cea
,,0,0,51,0,0,1,1,0,0,0,loss of jobs for americans,0,1. worried,275032fa-757f-11e2-ad47-88532e617cea
,,0,1,95,0,0,2,2,0,0,0,"changing the basic makeup of the united states.  creating a population with more socialistic values.  mexico is largely an economic failure, so the immigrants from there may tend to have the values that created that failure.",0.66667002,1. worried,27505bfe-757f-11e2-ad47-88532e617cea
,,0,1,340,1,1,2,2,0,0,1,"i firmly believe that the u.s. is a melting pot of nationalities and races -- people of different ethnic backgrounds blending into one rich culture - without losing the distinctiveness of their own culture.  in order to accomplish this safely and effectively:  1)immigrants must be in our country legally  2)immigrants need to learn our language  3) immigrants need to obey our laws. fears about illegal immigrants: terrorism, criminal activities, heavy drain on social services & medical services, weighing down the public school systems esl & other special needs.",0.66667002,1. worried,27509f38-757f-11e2-ad47-88532e617cea
,,0,0,109,2,1,1,1,0,0,1,"illegal immigration is a drain on the welfare system, although it seems to provide laborers for jobs americans don't want, legal immigration brings  technically skilled workers (h-1b), my great grandparents, and other people who can contribute to the country.",0.833,0. think,2751160c-757f-11e2-ad47-88532e617cea
,,0,0,217,0,0,0,1,0,2,0,"that all the silliness about immigration will alter the fundamental character of the us as the ""melting pot"" nation.",0.5,1. worried,27515928-757f-11e2-ad47-88532e617cea
,,0,0,393,0,0,2,2,0,0,0,jobs crime taxes,1,1. worried,2751a914-757f-11e2-ad47-88532e617cea
,,0,0,368,0,0,0,0,0,0,0,"ellis island, illegal immigration, new world, fences",0.333,0. think,2751cb4c-757f-11e2-ad47-88532e617cea
,,0,0,328,0,0,1,1,0,0,0,illegals; social security; benefits,1,0. think,2751f1b2-757f-11e2-ad47-88532e617cea
,,0,0,256,1,1,1,1,0,0,1,"i come from legal immigrant parents. i believe that at this point of war and the economy looking as it is going down, immigration is not a good idea. besides this immigration is what has made the us what it is today. you can experince and live so many cultures.",0.16666999,0. think,27521688-757f-11e2-ad47-88532e617cea
,,1,1,105,1,1,0,1,0,0,0,"people who come to the us to take advantage of the american dream and opportunities. unfortunately, many come over and do not become us citizens but are able to use tax-payer money to pay for their healthcare and welfare.",0.16666999,0. think,27525eae-757f-11e2-ad47-88532e617cea
,,0,1,466,1,0,0,1,2,2,0,"i worry about the republican party doing something very stupid.  this country was built on immigration, to deny anyone access to citizenship is unconstitutional.  what happened to give me your poor, sick, and tired?",0.16666999,1. worried,2752b250-757f-11e2-ad47-88532e617cea
,,0,0,321,0,0,0,1,1,0,0,-finding teachers with multi-cultural/multi-lingual skills,0.16666999,1. worried,2752fe86-757f-11e2-ad47-88532e617cea
,,0,0,22,0,0,1,1,0,0,0,wages being depressed. criminals coming into the us.,0.333,1. worried,27532a96-757f-11e2-ad47-88532e617cea
,,1,2,103,0,0,2,2,0,0,0,"leaching on our social structure, hospitals, welfare, jails--all the things we pay taxes for that they do not
more tererism",0.66667002,1. worried,2753569c-757f-11e2-ad47-88532e617cea
,,0,0,238,0,0,2,2,0,1,0,"conflicts between working class, illegal profits for companies hiring undocumented immigrants, low job wages, more immigration, overpopulation and competition for jobs.",0,1. worried,27538d6a-757f-11e2-ad47-88532e617cea
,,0,0,80,0,0,0,0,0,0,0,people crossing the border illegally.,0.333,0. think,2753cbc2-757f-11e2-ad47-88532e617cea
,,0,0,119,0,0,1,1,0,0,0,poor economy,1,0. think,2753f46c-757f-11e2-ad47-88532e617cea
,,0,0,258,2,1,0,0,0,0,1,my parents were immigrants from ireland.  everyone has a right to apply for entrance.  we are a nation of immigrants - except for native americans!,0.333,0. think,27541794-757f-11e2-ad47-88532e617cea
,,0,0,74,1,1,0,0,0,1,0,"the mexican border
illegal aliens from other countries
people getting a chance to have a decent life
people like our country better than theirs",0.16666999,0. think,27544caa-757f-11e2-ad47-88532e617cea
,,0,1,213,0,0,1,0,0,0,0,i don't think we should legalize aliens smuggled in to usa.,0,0. think,27548440-757f-11e2-ad47-88532e617cea
,,0,0,241,0,0,0,2,2,1,0,"as an arizona resident who lives 18 miles from the mexican-us border, and who has also spoken to some of these illegals while hiking in the huachuca mtns., i know these people, mostly, come here out of sheer desperation.  sure, some are the same lazy, fat, undereducated jerks that lurk around our own mid-level businesses.  but most simply are people who want what we all do: a comfortable life with as little thinking and suffering as possible, while reproducing at will.  they have told me, babies in arms,that if they remain at home, they have no future but an early death.  that they, maybe, should reduce their birth rate and/or not have children at all, if they cannot support them, simply will never occur to citizens of a catholic country, living a day's walk from a rich country that can be easily milked for what they consider a fortune in life support.  there is no answer to this, so long as 95% of mexico's wealth is controlled by 5% of its people, and the only riches the others have lie in their children.",0.333,0. think,2754b154-757f-11e2-ad47-88532e617cea
,,0,0,383,0,0,1,1,0,1,0,the only thing that makes me worry is the econany. immigration did not that happen yrars ago. i know all men are not equal. the rich get richer the poore get poorer. are we not all gods children?,0,1. worried,2755709e-757f-11e2-ad47-88532e617cea
,,0,0,396,0,0,1,1,0,0,0,the strain on the taxpayer in terms of welfare programs.,0.5,1. worried,2755ae1a-757f-11e2-ad47-88532e617cea
,,0,0,10,0,0,1,1,0,0,0,english not being the common language.,0,1. worried,2755d48a-757f-11e2-ad47-88532e617cea
,,0,0,30,1,0,0,0,0,0,1,if it legal im fine with it.,0.333,0. think,2755f866-757f-11e2-ad47-88532e617cea
,,0,0,157,0,0,0,0,0,0,0,nothing,0,1. worried,27561c60-757f-11e2-ad47-88532e617cea
,,1,1,254,0,0,1,1,0,0,0,immigrants who dont contribute to society or bring bad things to our country.,0.66667002,1. worried,27563d26-757f-11e2-ad47-88532e617cea
,,1,1,40,0,0,1,1,0,0,0,that they will take our jobs!,0.5,1. worried,275668be-757f-11e2-ad47-88532e617cea
,,0,0,124,0,0,1,2,0,0,0,"increased poverty due to more people in the us and less jobs.
increased death/robbery when the poor get desperate and turn to crime.",0,1. worried,27568cd6-757f-11e2-ad47-88532e617cea
,,0,0,156,0,0,0,1,0,0,1,people from other countries trying to come here to live or work and they don't always have the proper paper work,0.333,0. think,2756bf08-757f-11e2-ad47-88532e617cea
